id_cliente;nome_cliente;cpf_cliente;email;cidade;id_loja
1;Dr. Juan Almeida;640.857.319-39;pedro-lucas39@example.com;Pires;1
2;Asafe das Neves;705.918.263-21;murilocardoso@example.net;Moura do Galho;2
3;Enzo da Cunha;745.603.982-83;xnovais@example.org;Albuquerque Paulista;3
4;Camila Marques;546.792.083-92;nalves@example.net;Pimenta de Goiás;4
5;Ana Luiza Porto;746.019.852-85;britoravy@example.net;Gomes;5
6;Maria Eduarda Rios;862.350.971-40;benicio53@example.com;da Costa de Fonseca;6
7;Léo Nogueira;506.218.347-26;aragaobrenda@example.org;Viana;7
8;Gabrielly Azevedo;839.612.540-60;joao-vitor28@example.com;Camargo;8
9;Amanda Cardoso;053.429.176-70;lauramoura@example.org;Melo;9
10;Maria Cecília Moraes;917.486.025-94;bramos@example.org;Guerra de Lima;10
11;Bianca Mendonça;718.249.035-88;giovanna98@example.com;Montenegro de Pereira;11
12;Beatriz Vieira;183.769.542-37;uleao@example.org;Lima Alegre;12
13;Jade Freitas;271.065.348-62;dantepastor@example.net;Rios do Campo;13
14;Maria Rios;604.725.893-00;maria-luisacamara@example.org;Novais da Praia;14
15;João Lucas Oliveira;360.452.791-07;camila50@example.org;Nunes;15
16;Maria Liz Azevedo;201.547.369-61;levi54@example.net;Vasconcelos Verde;16
17;Antonella Aragão;290.578.341-97;cpereira@example.com;Cunha do Galho;17
18;Luiz Felipe Lopes;147.852.039-60;abreunicolas@example.com;Vargas;18
19;José Miguel da Rocha;510.396.874-66;melissanovais@example.net;Barbosa das Flores;19
20;Srta. Maya Almeida;715.436.928-00;ian60@example.com;Pinto;20
21;Maria Cecília Borges;613.749.082-31;pedro-miguel52@example.org;Moura;21
22;Evelyn Vasconcelos;592.106.783-03;domcavalcanti@example.net;Martins de Sá;22
23;Melissa Rodrigues;958.130.762-12;daniel58@example.org;Martins dos Dourados;23
24;Benjamin Freitas;418.965.370-57;poliveira@example.org;Pereira do Amparo;24
25;Clarice Araújo;715.904.862-85;hmacedo@example.net;Fonseca;25
26;Dr. Mathias Jesus;509.826.317-40;brendabarros@example.net;Ferreira;26
27;Matteo Cardoso;914.732.860-69;xmoraes@example.org;das Neves da Serra;27
28;Luigi Vargas;738.160.249-04;joao96@example.org;Cirino;28
29;Dra. Eloah Silveira;706.251.394-61;ida-conceicao@example.org;Viana do Amparo;29
